member_id,name,alias,kana,chamber,party,district,elected_count,roles,committees,party_divisions,career,as_of,member_company_offices,profile_url,source_url,verified,profile_asof,influence_tier,seniority
H-0166,古賀 篤,,こが あつし,衆,自民,福岡3,6,,厚生労働委員会,,昭和四十七年福岡市に生まれる、東京大学法学部卒業○財務省に十五年間勤務○総務大臣政務官兼内閣府大臣政務官、厚生労働副大臣、内閣府副大臣○自由民主党厚生労働部会長、現・党災害対策特別委員長○衆議院環境委員長○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/166.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0167,國場 幸之助,,こくば こうのすけ,衆,自民,沖縄1,6,外務委員会 委員長,外務委員会,,外務委員長 昭和四十八年一月沖縄県那覇市に生まれる、日本大学文理学部哲学科中退後、早稲田大学社会科学部卒業、雄弁会幹事長。会社員の後、沖縄県議会議員（二期）、国土交通副大臣、外務大臣政務官、自由民主党総裁特別補佐、同内閣第一部会長、同国防部会長、同経済産業部会長代理、同青年局次長、同国会対策委員会副委員長、同副幹事長、同沖縄県支部連合会会長○著書『われ、沖縄の架け橋たらん』『沖縄保守宣言』○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/167.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0168,輿水 恵一,,こしみず けいいち,衆,中道,（比）北関東,5,,環境委員会;政治倫理審査会,,昭和三十七年二月山梨県北杜市高根町清里に生まれる、青山学院大学理工学部卒業、キヤノン株式会社、さいたま市議会議員三期を経て衆議院議員○総務大臣政務官、復興副大臣○当選五回（46 47 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/168.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0169,小寺 裕雄,,こてら ひろお,衆,自民,（比）近畿,4,,環境委員会;国家基本政策委員会;議院運営委員会;懲罰委員会;沖縄及び北方問題に関する特別委員会;政治倫理審査会,,昭和三十五年九月滋賀県八日市市に生まれる、同志社大学文学部卒業、会社役員、滋賀県議会議員、滋賀県議会副議長○内閣府大臣政務官○当選四回（48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/169.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0170,後藤 茂之,,ごとう しげゆき,衆,自民,長野4,9,,予算委員会,,昭和三十年十二月九日東京に誕生、東京大学法学部卒○昭和五十五年大蔵省入省、米国ブラウン大学経済学部大学院留学（ＭＡ取得）、主税局企画調整室長にて平成七年退官○国土交通大臣政務官、法務副大臣、厚生労働大臣、経済再生担当大臣○自民党政務調査会長代理、雇用問題調査会長、税調小委員長、「こども・若者」輝く未来創造本部長、社会保障制度調査会長、新型コロナウイルス感染症対策本部長、日本経済再生本部幹事長、政調副会長七期、事務局長五期、与党政策責任者会議、厚労部会長、国会対策副委員長、長野県支部連合会長○衆議院厚労・災害特各委員長、予算・厚労・災害特各委員会筆頭理事、決算行政監視・予算・厚労・地方創生特・財金・国交・経産・農水各委員会理事○当選九回（42 43 44 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/170.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0171,後藤 祐一,,ごとう ゆういち,衆,中道,（比）南関東,7,,内閣委員会;予算委員会;政治改革に関する特別委員会,,昭和四十四年三月神奈川県横浜市に生まれる、東京大学法学部卒業、通商産業省（現経済産業省）入省。流通政策課課長補佐。平成十七年七月退職○平成二十一年八月衆議院議員初当選○立憲民主党幹事長代理、国会対策委員長代理、役員室長、政治改革推進本部副本部長、環境・エネルギー調査会副座長、企業・団体交流委員長代理、鳥獣被害対策検討プロジェクトチーム副座長、デジタル政策プロジェクトチーム座長。神奈川県連副代表、選挙対策委員長○衆議院議院運営委員会理事、予算委員会理事、国家基本政策委員会理事、内閣委員会理事、決算行政監視委員会理事、懲罰委員会理事、政治改革特別委員会理事、情報監視審査会幹事○当選七回（45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/171.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0172,許斐 亮太郎,,このみ りょうたろう,衆,国民,（比）九州,2,,総務委員会;沖縄及び北方問題に関する特別委員会,,昭和四十九年二月福岡県福岡市東区に生まれる、東北大学農学部卒業、東北大学大学院農学研究科修了○ＮＨＫ報道カメラマン、国会・政治担当デスクを経て、国民民主党福岡県連副代表、国民民主党福岡県第四区総支部長○衆議院総務委員会理事、沖縄及び北方問題に関する特別委員会理事○当選二回（50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/172.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0173,小林 茂樹,,こばやし しげき,衆,自民,奈良1,5,文部科学副大臣,,,文部科学副大臣 昭和三十九年十月奈良県奈良市に生まれる、慶應義塾大学法学部卒業、大和（現りそな）銀行勤務を経て、三和住宅入社、奈良青年会議所第四十三代理事長、三和住宅代表取締役会長、奈良県議会議員、一般社団法人関西住宅産業協会理事長、一般社団法人全国住宅産業協会副会長、社会福祉法人奈良いのちの電話協会理事長、奈良県卓球協会会長、国土交通大臣政務官、環境副大臣兼内閣府副大臣、文部科学副大臣○当選五回（46 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/173.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0174,小林 修平,,こばやし しゅうへい,衆,みらい,（比）南関東,1,,決算行政監視委員会,,平成二年八月東京都葛飾区に生まれる、千葉県立千葉商業高等学校卒業○ソフトウェアエンジニア（株式会社ドワンゴ、株式会社ディー・エヌ・エー、株式会社ＡＢＥＪＡ、株式会社デライト・ベンチャーズ）○チームみらい総務部長、経理部長、他○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/174.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0175,小林 鷹之,,こばやし たかゆき,衆,自民,千葉2,6,,国家基本政策委員会,,昭和四十九年十一月千葉県市川市に生まれる、東京大学法学部卒業、ハーバード大学院修了、財務省理財局課長補佐、在米日本大使館一等書記官○防衛大臣政務官、経済安全保障担当大臣、内閣府特命担当大臣（科学技術・宇宙）○自由民主党政務調査会長○衆議院国家基本政策委員会委員○著書『解説「宇宙資源法」』『世界をリードする日本へ』○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/175.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0176,小林 史明,,こばやし ふみあき,衆,自民,広島6,6,,経済産業委員会;決算行政監視委員会;消費者問題に関する特別委員会,,昭和五十八年四月富山県高岡市に生まれる、上智大学理工学部卒業○株式会社ＮＴＴドコモ社員○総務大臣政務官兼内閣府大臣政務官、内閣府大臣補佐官、デジタル副大臣兼内閣府副大臣、環境副大臣○自由民主党青年局長、経済産業部会部会長○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/176.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0177,小森 卓郎,,こもり たくお,衆,自民,石川1,3,経済産業大臣政務官,経済産業委員会;東日本大震災復興及び原子力問題調査特別委員会,,経済産業大臣政務官、内閣府大臣政務官、復興大臣政務官 昭和四十五年五月二十一日千葉県生。東京大学法学部卒業、プリンストン大学大学院修了（公共政策）○財務省主計局主査、防衛省会計課長、金融庁総合政策課長○総務大臣政務官、経済産業大臣政務官・内閣府大臣政務官・復興大臣政務官○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/177.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,mid
H-0178,今 洋佑,,こん ようすけ,衆,自民,（比）北陸信越,1,,農林水産委員会;環境委員会;災害対策特別委員会;消費者問題に関する特別委員会,,昭和五十八年一月十八日北海道札幌市に生まれる、東京大学工学部卒業、同大学院工学系研究科及び英国ロンドン大学修了○内閣府課長補佐、福井県大野市副市長、ソフトバンクグループ株式会社シニアマネージャー、コンサルティング会社代表、福井県政策企画コーディネーター、一般社団法人ＣＷＰ代表理事、金沢大学特任准教授○自由民主党青年局次長○衆議院環境委員会委員、沖縄及び北方問題に関する特別委員会委員○著書『夢と誇りが、この国の景色を変える。』○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/178.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0179,近藤 和也,,こんどう かずや,衆,中道,（比）北陸信越,5,,外務委員会;災害対策特別委員会,,昭和四十八年十二月石川県鹿島郡中能登町に生まれる。京都大学経済学部卒業、野村證券株式会社を経て、現在中道改革連合石川県第三区総支部代表となる○当選五回（45 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/179.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0180,近藤 雅彦,,こんどう まさひこ,衆,国民,（比）九州,1,,財務金融委員会,,昭和五十年神奈川県伊勢原市に生まれる、東海大学政治経済学部経済学科卒業、株式会社時事通信社、株式会社東京金融取引所、久留米市職員○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/180.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0181,斉木 武志,,さいき たけし,衆,自民,福井2,4,,経済産業委員会;地域活性化・こども政策・デジタル社会形成に関する特別委員会,,昭和四十九年五月山梨県甲府市に生まれる○東京大学法学部卒業○ＮＨＫアナウンサー○福井県議会議員（一期）○衆議院経済産業委員会理事、原子力問題調査特別委員会理事○当選四回（45 48 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/181.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0182,西條 昌良,,さいじょう まさよし,衆,自民,（比）北関東,1,,農林水産委員会;消費者問題に関する特別委員会;東日本大震災復興及び原子力問題調査特別委員会,,昭和二十九年十一月十四日茨城県鹿島郡波崎町（現神栖市）に生まれる、市立銚子高等学校卒業、大東文化大学経済学部経済学科卒業○参議院議員岩上妙子、岩上二郎（元茨城県知事）秘書、平成三年茨城県議会議員初当選（以後八期）、茨城県議会議長、自民党茨城県連幹事長○令和八年第五十一回衆議院総選挙にて初当選○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/182.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0183,斎藤アレックス,,さいとう あれっくす,衆,維新,（比）近畿,3,,決算行政監視委員会,,昭和六十年六月三十日スペイン国マドリッド市に生まれる、同志社大学経済学部卒業○大和証券ＳＭＢＣ（株）、ＳＭＢＣ日興証券（株）、松下政経塾、米国議会フェロー、ポノス（株）、衆議院議員秘書○決算行政監視委員会委員○日本維新の会政務調査会長、日本維新の会滋賀県総支部代表○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/183.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0184,齋藤 健,,さいとう けん,衆,自民,千葉7,7,,予算委員会,,昭和三十四年六月東京都新宿区に生まれる、東京大学経済学部卒業、ハーバード大学修士、経済産業省電力基盤整備課長、埼玉県副知事○環境大臣政務官、農林部会長、農林水産副大臣、農林水産大臣、法務大臣、経済産業大臣○現在衆議院予算委員会筆頭理事○著書『転落の歴史に何を見るか』○当選七回（45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/184.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0185,斉藤 鉄夫,,さいとう てつお,衆,中道,（比）中国,12,懲罰委員会 委員長,懲罰委員会,,懲罰委員長 昭和二十七年二月島根県邑智郡邑南町（旧羽須美村）に生まれる、東京工業大学大学院修士課程修了、工学博士、技術士○清水建設（株）技術研究所主任研究員、同宇宙開発室課長、日本原子力研究所外来研究員、米プリンストン大学プラズマ物理研究所客員研究員○科学技術総括政務次官、環境大臣、国土交通大臣○公明党代表○衆議院文部科学委員長○当選十二回（40 41 42 43 44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/185.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0186,斎藤 洋明,,さいとう ひろあき,衆,自民,新潟3,6,文部科学委員会 委員長,文部科学委員会,,文部科学委員長 昭和五十一年十二月八日新潟県岩船郡神林村に生まれる、学習院大学法学部卒業、神戸大学大学院国際協力研究科修士課程修了○国家公務員（Ⅰ種法律職）、公正取引委員会事務総局職員、内閣府職員○総務大臣政務官○財務副大臣○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/186.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0187,斉藤 りえ,,さいとう りえ,衆,自民,（比）東海,1,,厚生労働委員会;災害対策特別委員会;消費者問題に関する特別委員会,,昭和五十九年二月青森県青森市に生まれる、東奥学園高等学校中退○一歳の時病気により聴力を完全に失う、銀座のクラブ勤務時に筆談を生かした接客で話題になる○青森市の観光大使に就任、北区議会議員、東京都議会議員○厚生労働委員、災害対策特別委員、消費者問題に関する特別委員○党国会対策委員、青年局次長、女性局役員○著書『筆談ホステス』○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/187.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0188,坂井 学,,さかい まなぶ,衆,自民,神奈川5,7,,総務委員会;北朝鮮による拉致問題等に関する特別委員会,,昭和四十年九月、東京都府中市出身、東京大学法学部政治学科卒業、松下政経塾は十期生、鳩山邦夫秘書のち、衆議院選挙に出馬し当選○国交・復興大臣政務官、財務副大臣、総務・内閣府副大臣、内閣官房副長官、国家公安委員長・防災担当大臣○財務金融委員長○当選七回（44 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/188.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0189,坂本 哲志,,さかもと てつし,衆,自民,熊本3,9,予算委員会 委員長,予算委員会,,予算委員長 昭和二十五年十一月熊本県菊池郡大津町に生まれる、中央大学法学部卒業○新聞記者、熊本県議会議員当選四回○総務大臣政務官、総務副大臣兼内閣府副大臣、内閣府特命担当大臣、農林水産大臣○党総務部会長代理、党野菜・果樹・畑作物等小委員長、党畜産・酪農対策小委員長となり、党副幹事長、党税制調査会幹事、党組織運動本部長代理、党国会対策委員長○衆議院農林水産委員長、予算委員長、総務委員会筆頭理事、予算委員会筆頭理事、農林水産委員会筆頭理事○著書・寄稿『九州のアジア戦略』『郵政改革の未来』『九州政府出現』○当選九回（43 44補45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/189.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0190,坂本 竜太郎,,さかもと りゅうたろう,衆,自民,福島4,2,,国土交通委員会;東日本大震災復興及び原子力問題調査特別委員会,,昭和五十五年三月二十八日福島県いわき市に生まれる、福島県立磐城高等学校を経て、中央大学法学部を卒業○衆議院議員坂本剛二秘書を経て、平成二十一年いわき市議会議員、平成二十七年福島県議会議員となり、二期務める○自由民主党福島県支部連合会青年局長、福島県第四選挙区支部長○当選二回（50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/190.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0191,笹川 博義,,ささがわ ひろよし,衆,自民,群馬3,6,,農林水産委員会;予算委員会,,昭和四十一年八月東京都世田谷区代田に生まれる、明治大学政治経済学部中途退学○群馬県議会議員（二期）、元ヤマト発動機代表取締役○自由民主党政務調査副会長、自由民主党法務部会長、自由民主党副幹事長○農林水産副大臣、環境副大臣、環境大臣政務官○衆議院議事進行係○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/191.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0192,佐々木 紀,,ささき はじめ,衆,自民,石川2,6,国土交通副大臣,,,国土交通副大臣 昭和四十九年石川県能美郡根上町に生まれる、東北大学法学部卒業○会社役員、小松青年会議所理事長○国土交通大臣政務官、国土交通副大臣○自由民主党青年局長、国会対策副委員長○衆議院議院運営委員会理事、経済産業委員会理事○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/192.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0193,佐々木 真琴,,ささき まこと,衆,国民,（比）東北,1,,外務委員会;災害対策特別委員会,,平成八年十一月二十二日岩手県宮古市に生まれる、群馬県立女子大学国際コミュニケーション学部卒業○岩手県宮古市議会議員○ＮＰＯ法人プラス・アーツ、アンティカ・ジェラテリア・フィオレンティーナ（イタリア共和国、フィレンツェ）、ＮＰＯ法人みやっこベース、一般社団法人宮古観光文化交流協会、合同会社ＭＩＹＡＫＯＹＡ○国民民主党岩手県総支部連合会副代表○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/193.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0194,佐藤 英道,,さとう ひでみち,衆,中道,（比）北海道,6,,国土交通委員会;沖縄及び北方問題に関する特別委員会,,昭和三十五年九月二十六日宮城県名取市に生まれる、創価大学大学院経済研究科修士課程修了、公明新聞記者、北海道議会議員五期○厚生労働副大臣、内閣府副大臣（新型コロナワクチン接種推進担当）、農林水産大臣政務官○衆議院総務委員長、議院運営委員会理事、農林水産委員会理事、国土交通委員会理事、沖縄北方特別委員会理事、災害対策特別委員会理事○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/194.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0195,佐藤 主迪,,さとう まさし,衆,自民,神奈川16,1,,内閣委員会;災害対策特別委員会;東日本大震災復興及び原子力問題調査特別委員会,,平成六年九月宮城県大崎市に生まれる、東京大学法学部卒業○モルガン・スタンレーＭＵＦＧ証券勤務○自由民主党青年局次長、自由民主党国会対策委員○内閣委員会委員、災害対策特別委員会委員、東日本大震災復興及び原子力問題調査特別委員会委員○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/195.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0196,塩川 鉄也,,しおかわ てつや,衆,共産,（比）北関東,10,,内閣委員会;政治改革に関する特別委員会,,一九六一年十二月埼玉県日高市に生まれる、都立大学人文学部卒業○日高町（現・市）職員として、教育委員会で郷土史編纂にたずさわる。退職後、日本共産党の専従となり、党埼玉西南地区委員長、党埼玉県常任委員などを歴任。二〇〇〇年総選挙で北関東ブロックより初当選。以降、連続当選。衆議院建設、経済産業、総務、環境、議院運営各委員などを歴任。現在、衆議院内閣委員、政治改革特別委員。党常任幹部会委員、党幹部会委員、党中央委員、二〇二四年総選挙後より党国会対策委員長○当選十回（42 43 44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/196.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0197,塩崎 彰久,,しおざき あきひさ,衆,自民,愛媛1,3,,安全保障委員会;予算委員会;決算行政監視委員会;議院運営委員会;政治改革に関する特別委員会;政治倫理審査会,,昭和五十一年九月山口県下関市に生まれる、東京大学法学部卒業○弁護士、内閣官房長官秘書官○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/197.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0198,重徳 和彦,,しげとく かずひこ,衆,中道,（比）東海,6,,懲罰委員会,,昭和四十五年十二月愛知県生まれ。県立岡崎高校、東京大学法学部、コロンビア大学公共経営大学院卒業。平成六年自治省（現総務省）入省、山形県、青森県、広島県に赴任。新潟県中越地震では消防庁職員として崖崩れ現場にて二才男児の救出活動に従事。全国各地でお祭りやＮＰＯ、おやじの会を立ち上げた。平成二十四年十二月衆議院議員初当選。日本の法律に初めて「アレルギー」の言葉を作る。立憲民主党政調会長・税調会長として、令和七年末「ガソリン暫定税率廃止」実現に尽力。中道改革連合国対委員長。衆議院懲罰委理事。政策グループ「直諫（ちょっかん）の会」会長○共著『どうする、野党!?』（幻冬舎）○当選六回（46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/198.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0199,繁本 護,,しげもと まもる,衆,自民,（比）近畿,2,,厚生労働委員会;地域活性化・こども政策・デジタル社会形成に関する特別委員会,,昭和四十七年十二月兵庫県姫路市に生まれる、神戸大学大学院（建設学）修了、米国イリノイ工科大学経営大学院修了（ＭＢＡ）○国土交通省、環境省、釧路市港湾空港部長、伊東良孝衆議院議員政策秘書○財務大臣政務官○著書『霞ヶ関構造改革・プロジェクトＫ』（共著）○当選二回（48 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/199.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0200,階 猛,,しな たけし,衆,中道,岩手1,8,,国家基本政策委員会,,昭和四十一年十月岩手県盛岡市に生まれる。昭和六十年三月県立盛岡第一高等学校卒業、平成三年三月東京大学法学部卒業○平成三年四月（株）日本長期信用銀行（現ＳＢＩ新生銀行）入行、法務部次長、平成十八年十二月同行退職、平成十九年一月みずほ証券（株）総合企画部経営調査室主任研究員、同年五月同社退職○平成十五年十月弁護士登録、東京弁護士会犯罪被害者支援委員会副委員長○平成二十一年九月総務大臣政務官○平成二十四年十月民主党岩手県連代表、同年十二月党役員室長、平成二十九年九月民進党政務調査会長、令和四年九月立憲民主党「次の内閣」財務金融大臣、令和八年二月中道改革連合幹事長兼選挙対策委員長○令和七年十月衆議院法務委員長○著書『銀行の法律知識』（共著）○当選八回（44補45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/200.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0201,柴山 昌彦,,しばやま まさひこ,衆,自民,埼玉8,9,国家基本政策委員会 委員長,国家基本政策委員会,,国家基本政策委員長 昭和四十年十二月愛知県名古屋市に生まれる、東京大学法学部卒業、弁護士○住友不動産株式会社社員、虎門中央法律事務所勤務弁護士、東京弁護士会所属○外務大臣政務官、総務副大臣、内閣総理大臣補佐官（国家安全保障に関する重要政策及び選挙制度担当）、文部科学大臣○平成十六年三月自由民主党埼玉県第八区支部長、遊説局長、法務部会長、情報調査局長、財務金融部会長、筆頭副幹事長（総裁特別補佐）、政務調査会長代理、幹事長代理、教育立国調査会長、埼玉県支部連合会会長○衆議院内閣委員長、現在国家基本政策委員長○著書『執行妨害排除の手引き』（共著、きんざい）○当選九回（43補44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/201.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0202,島尻 安伊子,,しまじり あいこ,衆,自民,沖縄3,3（参2）,沖縄及び北方問題に関する特別委員会 委員長,総務委員会;沖縄及び北方問題に関する特別委員会,,沖縄及び北方問題に関する特別委員長 昭和四十年三月宮城県仙台市に生まれる、上智大学文学部新聞学科卒業、那覇市議会議員二期、参議院議員二期、内閣府大臣政務官兼復興大臣政務官、内閣府特命担当大臣、内閣府大臣補佐官、参議院環境委員長、自民党女性局長、著書『沖縄の子供のために』○当選三回（49 50 51）参二回（20補22）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/202.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0203,島田 智明,,しまだ ともあき,衆,自民,（比）近畿,2,外務大臣政務官,外務委員会,,外務大臣政務官 昭和四十四年十二月大阪府河内長野市に生まれる、京都大学工学部卒業、東京大学大学院理学系研究科修了、シンガポール国立大学大学院ＭＢＡ修了、仏インシアード大学院経営学研究科博士課程修了○河内長野市長、神戸大学大学院経営学研究科准教授○外務大臣政務官○衆議院外務委員○当選二回（50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/203.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,mid
H-0204,島村 かおる,,しまむら かおる,衆,参政,（比）中国,1,,環境委員会,,昭和五十年四月福岡県福岡市に生まれる、東海大学福岡短期大学国際文化学科卒業、介護事業所代表、ケアマネージャー○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/204.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
