member_id,name,alias,kana,chamber,party,district,elected_count,roles,committees,party_divisions,career,as_of,member_company_offices,profile_url,source_url,verified,profile_asof,influence_tier,seniority
H-0011,浅野 哲,,あさの さとし,衆,国民,茨城5,4,,厚生労働委員会;憲法審査会,,昭和五十七年九月東京都八王子市に生まれる、青山学院大学大学院理工学研究科博士前期課程修了○衆議院議員大畠章宏公設第一秘書、日立製作所労働組合特別中央執行委員、株式会社日立製作所研究員○国民民主党幹事長代行兼組織委員長、青年局長、選挙対策委員長代理○衆議院厚生労働委員会理事、憲法審査会幹事○当選四回（48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0012,東 国幹,,あずま くによし,衆,自民,北海道6,3,,農林水産委員会;沖縄及び北方問題に関する特別委員会,,昭和四十三年二月北海道上川郡風連町（現在名寄市）に生まれる。東海大学法学部卒業、国会議員秘書、旭川市議会議員、北海道議会議員、道議会自民党道民会議議員会長、全国道路利用者会議副会長、財務大臣政務官、自由民主党副幹事長○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0013,東 徹,,あずま とおる,衆,維新,大阪3,2（参2）,,経済産業委員会;予算委員会;北朝鮮による拉致問題等に関する特別委員会,,昭和四十一年九月大阪府大阪市に生まれる、近畿大学法学部卒業、東洋大学大学院修士課程修了○社会福祉士、専門学校講師○参議院議員二期、大阪府議会議員三期○日本維新の会総務会長、参議院国会対策委員長、拉致対策本部長○参議院議院運営委員会理事○衆議院経済産業委員会理事○著書『それでも維新の「身を切る改革」』『やさしく解説！すっきりわかる！大阪都構想』○当選二回（50 51）参二回（23 25）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0014,畦元 将吾,,あぜもと しょうご,衆,自民,東京6,3,,厚生労働委員会;地域活性化・こども政策・デジタル社会形成に関する特別委員会,,昭和三十三年四月広島県広島市生、岐阜医療科学大学大学院保健医療学研究科修士課程修了、東邦大学医学部客員教授、岐阜医療科学大学客員教授○厚労委員理事〇著書『へぇ、そうだったんだ!!健康診断・病院検査のトリビア43 -賢い受診者になろう』○当選三回（48繰49 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0015,麻生 太郎,,あそう たろう,衆,自民,福岡8,16,,国家基本政策委員会,,昭和十五年九月福岡県飯塚市に生まれる、学習院大学政経学部卒業、麻生セメント（株）社長○文部政務次官、経済企画庁長官、国務大臣・経済財政政策担当、総務大臣、外務大臣、内閣総理大臣、副総理、財務大臣、内閣府特命担当大臣（金融）を務める。自民党文教・外交各部会長、副幹事長、政務調査会長、幹事長、総裁、副総裁、最高顧問を務め、現在、再び副総裁である。衆議院石炭対策特別委員長、外務委員長、財政構造改革に関する特別委員長を務める○平成十九年三月永年在職議員として衆議院より表彰される○著書『とてつもない日本』『自由と繁栄の弧』等○当選十六回（35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0016,阿部 圭史,,あべ けいし,衆,維新,兵庫2,2,,厚生労働委員会;憲法審査会,,一九八六年生。岡山県育ち。医師。専門は国際政治・安全保障・危機管理・医療・公衆衛生。国立国際医療研究センターを経て、厚労省入省。ワクチン政策・診療報酬政策等の内政、国際機関や諸外国との外交、国際的に脅威となる感染症に対する危機管理に従事。また、ＷＨＯ本部で感染症危機管理政策、大量破壊兵器に対する公衆衛生危機管理政策、人道危機対応に従事。その後、民間企業、在宅医療への従事を経て、令和六年十月初当選。現在、衆議院議員二期目。党代表幹事長室長等を歴任。著書に『感染症の国家戦略 日本の安全保障と危機管理』、『コロナ民間臨調報告書』（共著）。北海道大学医学部卒業。ジョージタウン大学大学院修士課程（国際政治・安全保障専攻）修了○当選二回（50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0017,阿部 司,,あべ つかさ,衆,維新,（比）東京,3,,経済産業委員会;北朝鮮による拉致問題等に関する特別委員会;地域活性化・こども政策・デジタル社会形成に関する特別委員会,,昭和五十七年六月東京都大田区に生まれる、早稲田大学商学部卒業○東京維新の会代表○日本ヒューレット・パッカード（株）（外資系ＩＴ企業）、青山社中（株）（政策シンクタンク）を経て、第四十九回衆議院選挙にて初当選○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0018,あべ 俊子,,あべ としこ,衆,自民,（比）中国,8,,文部科学委員会;決算行政監視委員会,,昭和三十四年五月十九日宮城県石巻市に生まれる、イリノイ大学大学院博士課程卒業、日本看護協会副会長、東京医科歯科大学大学院助教授となる○外務大臣政務官、農林水産副大臣、外務副大臣、文部科学副大臣、文部科学大臣○衆議院外務委員長○当選八回（44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0019,阿部 弘樹,,あべ ひろき,衆,自民,（比）九州,3,,法務委員会,,昭和三十六年十二月十五日福岡県福津市に生まれる、熊本大学医学部卒業、同大大学院修了、医師、医学博士、厚生省課長補佐、久留米保健所支所長、津屋崎町長、福岡県議会議員三期、病院長○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0020,有田 芳生,,ありた よしふ,衆,中道,（比）東北,2（参2）,,法務委員会;北朝鮮による拉致問題等に関する特別委員会;憲法審査会,,一九五二年京都府生まれ。立命館大学経済学部卒業。フリージャーナリストとして霊感商法、統一教会、オウム真理教による地下鉄サリン事件、北朝鮮拉致問題に取り組む。日本テレビ系『ザ・ワイド』にコメンテーターとして十二年半出演○著書『誰も書かなかった統一教会』『改訂新版 統一教会とは何か』『北朝鮮 拉致問題 極秘文書から見える真実』『ヘイトスピーチとたたかう！』『私の家は山の向こう テレサ・テン十年目の真実』等、多数○当選二回（50 51）参二回（22 24）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/020.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0021,安藤 たかお,,あんどう たかお,衆,自民,東京28,3,,内閣委員会;地域活性化・こども政策・デジタル社会形成に関する特別委員会,,昭和三十四年四月東京都渋谷区に生まれる、日本大学医学部卒業○前厚生労働大臣政務官○医師、東京都医師会参与、東京都病院協会副会長、全日本病院協会副会長、日本慢性期医療協会副会長、八王子市医師会理事、医療法人社団永生会理事長、医療法人社団明生会理事長○当選三回（48 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0022,飯泉 嘉門,,いいずみ かもん,衆,国民,（比）四国,1,,決算行政監視委員会;憲法審査会,,昭和三十五年大阪府池田市出身、東京大学法学部卒業○昭和五十九年旧自治省に入省、大臣官房総務課、山梨県及び埼玉県財政課長、旧郵政省地域情報化プロジェクト推進室長、総務省自治税務局税務企画官、徳島県に出向、徳島県商工労働部長、同県民環境部長○全国最年少にて徳島県知事（五期二十年）、四国初の全国知事会会長（第十三代）○地上デジタル放送国民運動推進本部副本部長、自然エネルギー協議会会長、全国港湾知事協議会副会長、新しい日本をつくる国民会議知事・市町村長連合会議構成員、日本創生のための将来世代応援知事同盟構成員、関西広域連合広域医療担当委員、地方公共団体情報システム機構代表者会議議長○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
